NumMutant,MutatorType,Result,MutantSourceFile,MutantSource,MutantDestination,MutantSourceLine,MutantSourceColumn,file,mutation_score,Notes,isCondElseToFalse
116.0,RC-cond->true,passed,./2234-grading/Assignment8/shuffled-04/text,"(cond ((not (NumV? size)) (error (quote interp-prim) \""VVQS: arr called with size not a num ~e\"" size)) ((not (NumV? default)) (error (quote interp-prim) \""VVQS: arr called with default not a num ~e\"" default)) ((not (exact-integer? (NumV-num size))) (error...","(cond ((not (NumV? size)) (error (quote interp-prim) \""VVQS: arr called with size not a num ~e\"" size)) ((not (NumV? default)) (error (quote interp-prim) \""VVQS: arr called with default not a num ~e\"" default)) ((not (exact-integer? (NumV-num size))) (error...",670.0,40.0,./2234-grading/Assignment8/shuffled-04/text.rkt,0.864322,,False
63.0,RC-cond->true,passed,./2234-grading/Assignment4/shuffled-21/text,"(cond ((empty? funs) (error (quote VVQS) \""reference to undefined function: ~e\"" name)) ((cons? funs) (if (equal? name (fdC-name (first funs))) (first funs) (get-fundef name (rest funs)))))","(cond ((empty? funs) (error (quote VVQS) \""reference to undefined function: ~e\"" name)) (#t (if (equal? name (fdC-name (first funs))) (first funs) (get-fundef name (rest funs)))))",199.0,2.0,./2234-grading/Assignment4/shuffled-21/text.rkt,0.882353,,False
128.0,RC-cond->false,passed,./2234-grading/Assignment8/shuffled-39/text,(cond ((symbol=? s (Binding-name b)) (Binding-val b)) (else (env-lookup s rst))),(cond (#f (Binding-val b)) (else (env-lookup s rst))),522.0,5.0,./2234-grading/Assignment8/shuffled-39/text.rkt,0.242647,,False
5.0,RC-and->false,passed,./2234-grading/Assignment4/shuffled-35/text,(and (equal? op (quote /)) (equal? val2 0)),(and (equal? op (quote /)) #f),106.0,11.0,./2234-grading/Assignment4/shuffled-35/text.rkt,0.8875,,False
17.0,RC-cond->true,passed,./2234-grading/Assignment4/shuffled-11/text,"(cond ((empty? fds) (error (quote get-fundef) \""VVQS: Function Definition List is Empty\"")) ((cons? fds) (cond ((equal? n (FunDefC-name (first fds))) (first fds)) (else (get-fundef n (rest fds))))))","(cond ((empty? fds) (error (quote get-fundef) \""VVQS: Function Definition List is Empty\"")) (#t (cond ((equal? n (FunDefC-name (first fds))) (first fds)) (else (get-fundef n (rest fds))))))",123.0,2.0,./2234-grading/Assignment4/shuffled-11/text.rkt,0.742268,,False
61.0,RC-match-removal,passed,/Users/charlieray/Desktop/Research/RacketCode/JCCR/./2234-grading/Assignment8/shuffled-44/text.rkt,(match expr ((NumC n) (NumV n)) ((StrC s) (StrV s)) ((IfC do? test else?) (define test-result (interp test env)) (match test-result ((BoolV #t) (interp do? env)) ((BoolV #f) (interp else? env)) (else (error (quote interp) VVQS: Test expression in if must return a boolean)))) ((LamC args arg-types body) (CloV args body env)) ((IdC id) (let ((bindval (lookup id env))) (match bindval ((box val) val)))) ((AppC fun args) (define func-val (interp fun env)) (define arg-values (map (λ (arg) (interp (cast arg ExprC) env)) args)) (match func-val ((CloV params body closure-env) (if (= (length params) (length arg-values)) (let ((extended-env (append (map (λ ((param : Symbol) (arg : ValV)) (bind param (box arg))) params arg-values) closure-env))) (interp body extended-env)) (error (quote interp) (format VVQS: Wrong number of arguments in application)))) ((PrimV name arity) (if (= arity (length arg-values)) (apply-prim func-val arg-values env) (error (quote interp) (format VVQS: Wrong number of arguments for primitive ~a name)))) (else (error (quote interp) VVQS: Attempted to apply non-function value)))) ((SetC id val) (let ((bindval (lookup id env))) (match bindval ((box _) (begin (set-box! bindval (interp val env)) (VoidV)))))) ((BegC exps) (match exps ((quote ()) (VoidV)) ((cons _ _) (let ((values (map (λ ((e : ExprC)) (interp e env)) exps))) (if (empty? values) (VoidV) (let ((last-value (car (reverse values)))) (match last-value ((VoidV) (NumV 0)) (else last-value)))))))) ((ArrC exps) (define values (map (λ ((e : ExprC)) : ValV (interp e env)) exps)) (if (andmap (λ ((v : ValV)) (NumV? v)) values) (ArrV (list->vector values)) (error (quote interp) VVQS: All elements of an array must be numbers))) ((RecC id args arg-types body type in) (define junk-box : (Boxof ValV) (box (VoidV))) (define new-env (append (list (bind id junk-box)) env)) (define closure (CloV args body new-env)) (set-box! junk-box closure) (interp in new-env))),(match expr ((NumC n) (NumV n)) ((StrC s) (StrV s)) ((IfC do? test else?) (define test-result (interp test env)) (match test-result ((BoolV #t) (interp do? env)) ((BoolV #f) (interp else? env)) (else (error (quote interp) VVQS: Test expression in if must return a boolean)))) ((LamC args arg-types body) (CloV args body env)) ((IdC id) (let ((bindval (lookup id env))) (match bindval ((box val) val)))) ((AppC fun args) (define func-val (interp fun env)) (define arg-values (map (λ (arg) (interp (cast arg ExprC) env)) args)) (match func-val ((CloV params body closure-env) (if (= (length params) (length arg-values)) (let ((extended-env (append (map (λ ((param : Symbol) (arg : ValV)) (bind param (box arg))) params arg-values) closure-env))) (interp body extended-env)) (error (quote interp) (format VVQS: Wrong number of arguments in application)))) ((PrimV name arity) (if (= arity (length arg-values)) (apply-prim func-val arg-values env) (error (quote interp) (format VVQS: Wrong number of arguments for primitive ~a name)))) (else (error (quote interp) VVQS: Attempted to apply non-function value)))) ((SetC id val) (let ((bindval (lookup id env))) (match bindval ((box _) (begin (set-box! bindval (interp val env)) (VoidV)))))) ((BegC exps) (match exps ((quote ()) (VoidV)) ((cons _ _) (let ((values (map (λ ((e : ExprC)) (interp e env)) exps))) (if (empty? values) (VoidV) (let ((last-value (car (reverse values)))) (match last-value ((VoidV) (NumV 0)) (else last-value)))))))) ((ArrC exps) (define values (map (λ ((e : ExprC)) : ValV (interp e env)) exps)) (if (andmap (λ ((v : ValV)) (NumV? v)) values) (ArrV (list->vector values)) (error (quote interp) VVQS: All elements of an array must be numbers)))),302.0,2.0,./2234-grading/Assignment8/shuffled-44/text.rkt,0.419048,,False
26.0,RC-or->false,passed,./2234-grading/Assignment5/shuffled-48/text,(or (quote =>) (quote :=) (quote where) (quote if) (quote then) (quote else)),(or (quote =>) (quote :=) #f (quote if) (quote then) (quote else)),141.0,5.0,./2234-grading/Assignment5/shuffled-48/text.rkt,0.694444,,False
23.0,RC-cond->true,passed,./2234-grading/Assignment3/shuffled-12/text,(cond ((real? s) (numC s)) ((legal-id? s) (idC s)) ((list? s) (match s ((list (? symbol? a) b c) (binop (idC a) (parse b) (parse c))) ((list (? legal-id? a) b) (appC a (parse b))) ((list (quote leq0?) b (quote then) d (quote else) f) (leq0? (parse b) (p...,(cond ((real? s) (numC s)) ((legal-id? s) (idC s)) ((list? s) (match s ((list (? symbol? a) b c) (binop (idC a) (parse b) (parse c))) ((list (? legal-id? a) b) (appC a (parse b))) ((list (quote leq0?) b (quote then) d (quote else) f) (leq0? (parse b) (p...,78.0,2.0,./2234-grading/Assignment3/shuffled-12/text.rkt,0.818182,,False
57.0,RC-cond->true,passed,./2234-grading/Assignment4BasicMastery/shuffled-01/text,"(cond ((empty? funs) (error (quote VVQS) \""reference to undefined function: ~e\"" (quote main))) ((cons? funs) (if (equal? (quote main) (fdC-name (first funs))) (first funs) (get-fundef (quote main) (rest funs)))))","(cond ((empty? funs) (error (quote VVQS) \""reference to undefined function: ~e\"" (quote main))) (#t (if (equal? (quote main) (fdC-name (first funs))) (first funs) (get-fundef (quote main) (rest funs)))))",182.0,2.0,./2234-grading/Assignment4BasicMastery/shuffled-01/text.rkt,0.882353,,False
181.0,RC-and->true,passed,./2234-grading/Assignment8/shuffled-42/text,(and (symbol=? primOp (quote substring)) (StrV? x) (NumV? y) (NumV? z) (integer? (NumV-n y)) (integer? (NumV-n z)) (>= (NumV-n y) 0) (<= (NumV-n y) (string-length (StrV-s x))) (>= (NumV-n y) 0) (<= (NumV-n z) (string-length (StrV-s x))) (<= (NumV-n y) (...,(and (symbol=? primOp (quote substring)) (StrV? x) (NumV? y) (NumV? z) (integer? (NumV-n y)) (integer? (NumV-n z)) #t (<= (NumV-n y) (string-length (StrV-s x))) (>= (NumV-n y) 0) (<= (NumV-n z) (string-length (StrV-s x))) (<= (NumV-n y) (NumV-n z))),136.0,21.0,./2234-grading/Assignment8/shuffled-42/text.rkt,0.804082,,False
56.0,RC-match-removal,passed,/Users/charlieray/Desktop/Research/RacketCode/JCCR/./2234-grading/Assignment5/shuffled-28/text.rkt,(match l ((list (? real? a) (? real? b)) (equal? a b)) ((list (? boolean? a) (? boolean? b)) (equal? a b)) ((list (? string? a) (? string? b)) (equal? a b)) ((list a b) #f)),(match l ((list (? real? a) (? real? b)) (equal? a b)) ((list (? boolean? a) (? boolean? b)) (equal? a b)) ((list a b) #f)),167.0,13.0,./2234-grading/Assignment5/shuffled-28/text.rkt,0.984615,,False
58.0,RC-cond->false,passed,./2234-grading/Assignment2/shuffled-81/text,(cond ((equal? value symbol) replacement) ((and (Leaf? left) (Leaf? right)) (Node value (Leaf) (Leaf))) ((Leaf? left) (Node value (Leaf) (subst right symbol replacement))) ((Leaf? right) (Node value (subst left symbol replacement) (Leaf))) (else (let ((...,(cond ((equal? value symbol) replacement) ((and (Leaf? left) (Leaf? right)) (Node value (Leaf) (Leaf))) (#f (Node value (Leaf) (subst right symbol replacement))) ((Leaf? right) (Node value (subst left symbol replacement) (Leaf))) (else (let ((replaced_l...,200.0,29.0,./2234-grading/Assignment2/shuffled-81/text.rkt,0.9,,False
117.0,RC-or->false,passed,./2234-grading/Assignment8/shuffled-11/text,(or (symbol=? s (quote where)) (symbol=? s (quote if)) (symbol=? s (quote =>)) (symbol=? s (quote letrec)) (symbol=? s (quote :=)) (symbol=? s (quote then)) (symbol=? s (quote <-)) (symbol=? s (quote ->)) (symbol=? s (quote :)) (symbol=? s (quote begin)...,(or (symbol=? s (quote where)) (symbol=? s (quote if)) (symbol=? s (quote =>)) (symbol=? s (quote letrec)) (symbol=? s (quote :=)) #f (symbol=? s (quote <-)) (symbol=? s (quote ->)) (symbol=? s (quote :)) (symbol=? s (quote begin)) (symbol=? s (quote ma...,332.0,5.0,./2234-grading/Assignment8/shuffled-11/text.rkt,0.805882,,False
14.0,RC-match-removal,passed,/Users/charlieray/Desktop/Research/RacketCode/JCCR/./2234-grading/Assignment3/shuffled-15/text.rkt,(match fds ((quote ()) (error (quote get-fundef-with-param) VVQS - Failed to resolve function ~e with parameter ~e fun-name param-name)) ((cons f r) (cond ((and (equal? fun-name (FunDefC-name f)) (equal? param-name (FunDefC-param f))) f) (else (get-fundef-with-param fun-name param-name r))))),(match fds ((cons f r) (cond ((and (equal? fun-name (FunDefC-name f)) (equal? param-name (FunDefC-param f))) f) (else (get-fundef-with-param fun-name param-name r))))),136.0,2.0,./2234-grading/Assignment3/shuffled-15/text.rkt,0.923077,,False
8.0,RC-and->true,passed,./2234-grading/Assignment5BasicMastery/shuffled-05/text,(and (not (ClosV? a)) (not (ClosV? b)) (not (PrimopV? a)) (not (PrimopV? b)) (equal? a b)),(and #t (not (ClosV? b)) (not (PrimopV? a)) (not (PrimopV? b)) (equal? a b)),104.0,56.0,./2234-grading/Assignment5BasicMastery/shuffled-05/text.rkt,0.709091,,False
58.0,RC-or->false,passed,./2234-grading/Assignment8/shuffled-29/text,(or (ClosV? l) (ClosV? r) (PrimOpV? l) (PrimOpV? r)),(or (ClosV? l) (ClosV? r) #f (PrimOpV? r)),204.0,5.0,./2234-grading/Assignment8/shuffled-29/text.rkt,0.840909,,False
48.0,RC-and->true,passed,./2234-grading/Assignment3/shuffled-24/text,(and (symbol? s) (not (member s keywords))),(and (symbol? s) #t),115.0,2.0,./2234-grading/Assignment3/shuffled-24/text.rkt,0.770492,,False
12.0,RC-match-removal,passed,/Users/charlieray/Desktop/Research/RacketCode/JCCR/./2234-grading/Assignment5/shuffled-29/text.rkt,(match s ((? real? s) (numC s)) ((? string? s) (strC s)) ((? symbol? s) (cond ((not (check-syntax s)) (idC s)) (else (error (quote parse) VVQS5 Invalid symbol)))) ((list (list fun1 args1 ...) (quote if) (list fun2 args2 ...) (quote else) (list fun3 args3 ...)) (ifC (appC (parse fun1) (map parse args1)) (appC (parse fun2) (map parse args2)) (appC (parse fun3) (map parse args3)))) ((list (? symbol? a) (? symbol? b) (? symbol? c)) (error (quote parse) VVQS5 Invalid expression)) ((list tru (quote if) (list fun args ...) (quote else) fal) (ifC (parse tru) (appC (parse fun) (map parse args)) (parse fal))) ((list tru (quote if) test (quote else) fal) (ifC (parse tru) (parse test) (parse fal))) ((list (list (? symbol? params) ...) (quote =>) body) (cond ((and (= (length params) 2) (cast params (Listof Symbol)) (equal? (first params) (second params))) (error (quote parse) VVQS5 Invalid expression))) (lamC (cast params (Listof Symbol)) (parse body))) ((list fun args ...) (appC (parse fun) (map parse args))) (else (error (quote parse) VVQS5 Invalid expression))),(match s ((? real? s) (numC s)) ((? string? s) (strC s)) ((? symbol? s) (cond ((not (check-syntax s)) (idC s)) (else (error (quote parse) VVQS5 Invalid symbol)))) ((list (? symbol? a) (? symbol? b) (? symbol? c)) (error (quote parse) VVQS5 Invalid expression)) ((list tru (quote if) (list fun args ...) (quote else) fal) (ifC (parse tru) (appC (parse fun) (map parse args)) (parse fal))) ((list tru (quote if) test (quote else) fal) (ifC (parse tru) (parse test) (parse fal))) ((list (list (? symbol? params) ...) (quote =>) body) (cond ((and (= (length params) 2) (cast params (Listof Symbol)) (equal? (first params) (second params))) (error (quote parse) VVQS5 Invalid expression))) (lamC (cast params (Listof Symbol)) (parse body))) ((list fun args ...) (appC (parse fun) (map parse args))) (else (error (quote parse) VVQS5 Invalid expression))),134.0,2.0,./2234-grading/Assignment5/shuffled-29/text.rkt,0.945946,,False
84.0,RC-and->false,passed,./2234-grading/Assignment5/shuffled-18/text,(and (BoolV? v1) (BoolV? v2)),(and #f (BoolV? v2)),175.0,5.0,./2234-grading/Assignment5/shuffled-18/text.rkt,0.84,,False
17.0,RC-match-removal,passed,/Users/charlieray/Desktop/Research/RacketCode/JCCR/./2234-grading/Assignment3/shuffled-31/text.rkt,(match sexp ((? list? sexps) (map parse-fundef (ann sexps (Listof Sexp)))) (_ (error (quote parse-prog) Unrecognized program structure VVQS: ~s sexp))),(match sexp ((? list? sexps) (map parse-fundef (ann sexps (Listof Sexp))))),104.0,2.0,./2234-grading/Assignment3/shuffled-31/text.rkt,0.810811,,False
30.0,RC-and->true,passed,./2234-grading/Assignment4BasicMastery/shuffled-12/text,(and (empty? what-list) (empty? for-list)),(and #t (empty? for-list)),103.0,5.0,./2234-grading/Assignment4BasicMastery/shuffled-12/text.rkt,0.875,,False
20.0,RC-and->true,passed,./2234-grading/Assignment2/shuffled-64/text,(and (< 5 blueness) (<= 100 count)),(and #t (<= 100 count)),60.0,32.0,./2234-grading/Assignment2/shuffled-64/text.rkt,0.915254,,False
10.0,aod-mul,passed,./2234-grading/Assignment2BasicMastery/shuffled-13/text,(* (* (* 2 pi) r) h),(begin * (* 2 pi) r),23.0,5.0,./2234-grading/Assignment2BasicMastery/shuffled-13/text.rkt,0.844828,,False
37.0,RC-match-removal,passed,/Users/charlieray/Desktop/Research/RacketCode/JCCR/./2234-grading/Assignment5/shuffled-43/text.rkt,(match binding ((quasiquote ((unquote id) := (unquote expr))) (values (parse-arg id) (parse expr))) (_ (error (quote parse-binding) Unrecognized VVQS binding: ~a binding))),(match binding ((quasiquote ((unquote id) := (unquote expr))) (values (parse-arg id) (parse expr)))),142.0,2.0,./2234-grading/Assignment5/shuffled-43/text.rkt,0.898305,,False
2.0,RC-or->false,passed,./2234-grading/Assignment4BasicMastery/shuffled-04/text,(or (quote +) (quote -) (quote /) (quote *) (quote =) (quote leq0?) (quote then) (quote else) (quote def)),(or (quote +) (quote -) #f (quote *) (quote =) (quote leq0?) (quote then) (quote else) (quote def)),52.0,5.0,./2234-grading/Assignment4BasicMastery/shuffled-04/text.rkt,0.810345,,False
