NumMutant,MutatorType,Result,MutantSourceFile,MutantSource,MutantDestination,MutantSourceLine,MutantSourceColumn,file,mutation_score,Notes,isCondElseToFalse
52.0,RC-match-removal,passed,/Users/charlieray/Desktop/Research/RacketCode/JCCR/./2234-grading/Assignment8/shuffled-39/text.rkt,(match s ((quote +) (numV (+ (numV-n (cast (list-ref ops 0) numV)) (numV-n (cast (list-ref ops 1) numV))))) ((quote *) (numV (* (numV-n (cast (list-ref ops 0) numV)) (numV-n (cast (list-ref ops 1) numV))))) ((quote /) (numV (/ (numV-n (cast (list-ref ops 0) numV)) (numV-n (cast (list-ref ops 1) numV))))) ((quote -) (numV (- (numV-n (cast (list-ref ops 0) numV)) (numV-n (cast (list-ref ops 1) numV))))) ((quote <=) (boolV (<= (numV-n (cast (list-ref ops 0) numV)) (numV-n (cast (list-ref ops 1) numV))))) ((quote str-eq?) (boolV (equal? (list-ref ops 0) (list-ref ops 1)))) ((quote num-eq?) (boolV (equal? (list-ref ops 0) (list-ref ops 1)))) ((quote arr) (define a1 (numV-n (cast (list-ref ops 0) numV))) (define a2 (numV-n (cast (list-ref ops 1) numV))) (cond ((and (integer? a1) (integer? a2)) (arrV (make-vector (cast a1 Integer) (cast a2 Integer)))))) ((quote arr-ref) (define arr (cast (car ops) arrV)) (define idx (cast (cdr ops) numV)) (cond ((integer? idx) (numV (vector-ref (arrV-vals arr) (cast idx Integer)))) (else (error (quote VVQS) Not a valid integer index)))) (other (error (quote VVQS) Not a valid primitive))),(match s ((quote +) (numV (+ (numV-n (cast (list-ref ops 0) numV)) (numV-n (cast (list-ref ops 1) numV))))) ((quote /) (numV (/ (numV-n (cast (list-ref ops 0) numV)) (numV-n (cast (list-ref ops 1) numV))))) ((quote -) (numV (- (numV-n (cast (list-ref ops 0) numV)) (numV-n (cast (list-ref ops 1) numV))))) ((quote <=) (boolV (<= (numV-n (cast (list-ref ops 0) numV)) (numV-n (cast (list-ref ops 1) numV))))) ((quote str-eq?) (boolV (equal? (list-ref ops 0) (list-ref ops 1)))) ((quote num-eq?) (boolV (equal? (list-ref ops 0) (list-ref ops 1)))) ((quote arr) (define a1 (numV-n (cast (list-ref ops 0) numV))) (define a2 (numV-n (cast (list-ref ops 1) numV))) (cond ((and (integer? a1) (integer? a2)) (arrV (make-vector (cast a1 Integer) (cast a2 Integer)))))) ((quote arr-ref) (define arr (cast (car ops) arrV)) (define idx (cast (cdr ops) numV)) (cond ((integer? idx) (numV (vector-ref (arrV-vals arr) (cast idx Integer)))) (else (error (quote VVQS) Not a valid integer index)))) (other (error (quote VVQS) Not a valid primitive))),366.0,5.0,./2234-grading/Assignment8/shuffled-39/text.rkt,,,False
74.0,aod-add,passed,./2234-grading/Assignment8/shuffled-35/text,(+ x y),(begin . x),392.0,39.0,./2234-grading/Assignment8/shuffled-35/text.rkt,0.844444,,False
73.0,aod-add,passed,./2234-grading/Assignment5/shuffled-47/text,(+ y 3),(begin . 3),289.0,26.0,./2234-grading/Assignment5/shuffled-47/text.rkt,0.878378,,False
12.0,aod-mul,passed,./2234-grading/Assignment2/shuffled-45/text,(* (* 2 pi) (* r r)),(begin * 2 pi),41.0,16.0,./2234-grading/Assignment2/shuffled-45/text.rkt,0.890909,,False
75.0,RC-or->true,passed,./2234-grading/Assignment8/shuffled-05/text,(or (quote =>) (quote :=) (quote where) (quote letrec) (quote if) (quote then) (quote :) (quote else) (quote ->) (quote <-) (quote begin) (quote in) (quote makearr)),(or (quote =>) (quote :=) #t (quote letrec) (quote if) (quote then) (quote :) (quote else) (quote ->) (quote <-) (quote begin) (quote in) (quote makearr)),327.0,5.0,./2234-grading/Assignment8/shuffled-05/text.rkt,0.648649,,False
12.0,aod-mul,passed,./2234-grading/Assignment2BasicMastery/shuffled-13/text,(* (* 2 pi) r),(begin * 2 pi),23.0,8.0,./2234-grading/Assignment2BasicMastery/shuffled-13/text.rkt,0.844828,,False
0.0,aod-add,passed,./2234-grading/Assignment8/shuffled-12/text,(+ - * / num-eq? str-eq? <= substring arr aref aset alen),(begin . -),67.0,13.0,./2234-grading/Assignment8/shuffled-12/text.rkt,0.745283,,False
47.0,RC-and->true,passed,./2234-grading/Assignment5/shuffled-45/text,(and (equal? op /) (equal? (NumV-n r) 0)),(and #t (equal? (NumV-n r) 0)),153.0,12.0,./2234-grading/Assignment5/shuffled-45/text.rkt,0.884211,,False
26.0,RC-and->true,passed,./2234-grading/Assignment2/shuffled-68/text,(and (> b 5) (> c 99)),(and #t (> c 99)),82.0,25.0,./2234-grading/Assignment2/shuffled-68/text.rkt,0.951613,,False
17.0,RC-match-removal,passed,/Users/charlieray/Desktop/Research/RacketCode/JCCR/./2234-grading/Assignment8/shuffled-40/text.rkt,(match sexp ((quote num) (NumType)) ((quote bool) (BoolType)) ((quote str) (StrType)) ((quote void) (VoidType)) ((list inputs ... (quote ->) output) (FuncType (map parse-type (cast inputs (Listof Sexp))) (parse-type output))) ((quote numarray) (NumArrType)) (_ (error (quote parse-type) VVQS failed to parse type ~e sexp))),(match sexp ((quote num) (NumType)) ((quote bool) (BoolType)) ((quote str) (StrType)) ((list inputs ... (quote ->) output) (FuncType (map parse-type (cast inputs (Listof Sexp))) (parse-type output))) ((quote numarray) (NumArrType)) (_ (error (quote parse-type) VVQS failed to parse type ~e sexp))),126.0,2.0,./2234-grading/Assignment8/shuffled-40/text.rkt,0.956989,,False
37.0,RC-or->false,passed,./2234-grading/Assignment4/shuffled-11/text,(or (equal? s (quote +)) (equal? s (quote *)) (equal? s (quote -)) (equal? s (quote /)) (equal? s (quote def)) (equal? s (quote leq0?))),(or (equal? s (quote +)) (equal? s (quote *)) (equal? s (quote -)) (equal? s (quote /)) (equal? s (quote def)) #f),149.0,8.0,./2234-grading/Assignment4/shuffled-11/text.rkt,0.742268,,False
18.0,RC-match-removal,passed,/Users/charlieray/Desktop/Research/RacketCode/JCCR/./2234-grading/Assignment5BasicMastery/shuffled-12/text.rkt,(match s ((? real? r) (numC r)) ((? string? s) (stringC s)) ((list (quote error) err ...) (errorC err)) ((? symbol? (quote error)) (errorC )) ((? legal-id? s) (idC s)) ((list a (quote if) b (quote else) c) (ifC (parse a) (parse b) (parse c))) ((list (quote def) (list (? legal-id? items) ...) (? symbol? _) body) (define fun-args (map (lambda (x) (cast x Symbol)) items)) (lamC fun-args (parse body))) ((list a (quote where) (list (list (? legal-id? params) (quote :=) args) ...)) (cond ((check-duplicates params) (error (quote parse) VVQS: duplicate param for what)) (else (appC (lamC (cast params (Listof Symbol)) (parse a)) (map (lambda ((x : Sexp)) (parse x)) (cast args (Listof Sexp))))))) ((list (list (? legal-id? a) ...) (quote =>) b) (cond ((not (check-duplicates a)) (lamC (cast a (Listof Symbol)) (parse b))) (else (error (quote parse) VVQS: Duplicate params for lambs)))) ((list a b ...) (appC (parse a) (map parse b))) ((quote ()) (quote ())) (other (error (quote parse) VVQS: Invalid Parse 2: ~e s))),(match s ((? real? r) (numC r)) ((? string? s) (stringC s)) ((? symbol? (quote error)) (errorC )) ((? legal-id? s) (idC s)) ((list a (quote if) b (quote else) c) (ifC (parse a) (parse b) (parse c))) ((list (quote def) (list (? legal-id? items) ...) (? symbol? _) body) (define fun-args (map (lambda (x) (cast x Symbol)) items)) (lamC fun-args (parse body))) ((list a (quote where) (list (list (? legal-id? params) (quote :=) args) ...)) (cond ((check-duplicates params) (error (quote parse) VVQS: duplicate param for what)) (else (appC (lamC (cast params (Listof Symbol)) (parse a)) (map (lambda ((x : Sexp)) (parse x)) (cast args (Listof Sexp))))))) ((list (list (? legal-id? a) ...) (quote =>) b) (cond ((not (check-duplicates a)) (lamC (cast a (Listof Symbol)) (parse b))) (else (error (quote parse) VVQS: Duplicate params for lambs)))) ((list a b ...) (appC (parse a) (map parse b))) ((quote ()) (quote ())) (other (error (quote parse) VVQS: Invalid Parse 2: ~e s))),146.0,1.0,./2234-grading/Assignment5BasicMastery/shuffled-12/text.rkt,0.970588,,False
8.0,RC-or->false,passed,./2234-grading/Assignment5/shuffled-01/text,(or (quote =) (quote if) (quote else) (quote =>)),(or (quote =) (quote if) #f (quote =>)),199.0,22.0,./2234-grading/Assignment5/shuffled-01/text.rkt,0.8,,False
62.0,RC-or->false,passed,./2234-grading/Assignment8/shuffled-41/text,(or (equal? f (quote where)) (equal? f (quote letrec)) (equal? f (quote :=)) (equal? f (quote if)) (equal? f (quote else)) (equal? f (quote <-)) (equal? f (quote =>)) (equal? f (quote :)) (equal? f (quote begin)) (equal? f (quote in)) (equal? f (quote m...,(or (equal? f (quote where)) (equal? f (quote letrec)) (equal? f (quote :=)) (equal? f (quote if)) #f (equal? f (quote <-)) (equal? f (quote =>)) (equal? f (quote :)) (equal? f (quote begin)) (equal? f (quote in)) (equal? f (quote makearr))),361.0,20.0,./2234-grading/Assignment8/shuffled-41/text.rkt,0.833333,,False
4.0,RC-if->false,passed,./2234-grading/Assignment8/shuffled-44/text,(if (symbol=? for name) val (lookup for rest-env)),(if #f val (lookup for rest-env)),145.0,5.0,./2234-grading/Assignment8/shuffled-44/text.rkt,0.696429,,False
113.0,RC-or->false,passed,./2234-grading/Assignment8/shuffled-11/text,(or (symbol=? s (quote where)) (symbol=? s (quote if)) (symbol=? s (quote =>)) (symbol=? s (quote letrec)) (symbol=? s (quote :=)) (symbol=? s (quote then)) (symbol=? s (quote <-)) (symbol=? s (quote ->)) (symbol=? s (quote :)) (symbol=? s (quote begin)...,(or (symbol=? s (quote where)) #f (symbol=? s (quote =>)) (symbol=? s (quote letrec)) (symbol=? s (quote :=)) (symbol=? s (quote then)) (symbol=? s (quote <-)) (symbol=? s (quote ->)) (symbol=? s (quote :)) (symbol=? s (quote begin)) (symbol=? s (quote ...,332.0,5.0,./2234-grading/Assignment8/shuffled-11/text.rkt,0.805882,,False
57.0,aod-add,passed,./2234-grading/Assignment3/shuffled-42/text,(+ (g x) 3),(begin . 3),164.0,28.0,./2234-grading/Assignment3/shuffled-42/text.rkt,0.807692,,False
19.0,RC-cond->true,passed,./2234-grading/Assignment8/shuffled-34/text,"(cond ((or (equal? sym (quote <=)) (equal? sym (quote num-eq?)) (equal? sym (quote str-eq?))) (eval-bool sym interpArgs)) ((equal? sym (quote error)) (error (quote eval-bool) \""VVQS: user-error ~e\"" sym)) ((equal? sym (quote substring)) (match* ((first in...","(cond ((or (equal? sym (quote <=)) (equal? sym (quote num-eq?)) (equal? sym (quote str-eq?))) (eval-bool sym interpArgs)) ((equal? sym (quote error)) (error (quote eval-bool) \""VVQS: user-error ~e\"" sym)) ((equal? sym (quote substring)) (match* ((first in...",131.0,8.0,./2234-grading/Assignment8/shuffled-34/text.rkt,0.914286,,False
22.0,RC-and->true,passed,./2234-grading/Assignment2/shuffled-46/text,(and (> blueness 5) (>= count 100)),(and #t (>= count 100)),46.0,35.0,./2234-grading/Assignment2/shuffled-46/text.rkt,0.953846,,False
2.0,RC-match-removal,passed,/Users/charlieray/Desktop/Research/RacketCode/JCCR/./2234-grading/Assignment8/shuffled-44/text.rkt,(match sexp ((? symbol? (? ValidSymbol? sym)) (case sym ((quote num) (NumT)) ((quote bool) (BoolT)) ((quote str) (StrT)) ((quote void) (VoidT)) ((quote numarray) (ArrT)) (else (error (quote parse-type) (format VVQS: Invalid type: ~a sym))))) ((list arg-types ... (quote ->) result-type) (FunT (parse-types (cast arg-types (Listof Sexp))) (parse-type result-type))) (else (error (quote parse-type) (format VVQS: Invalid type: ~a sexp)))),(match sexp ((? symbol? (? ValidSymbol? sym)) (case sym ((quote num) (NumT)) ((quote bool) (BoolT)) ((quote str) (StrT)) ((quote void) (VoidT)) ((quote numarray) (ArrT)) (else (error (quote parse-type) (format VVQS: Invalid type: ~a sym))))) ((list arg-types ... (quote ->) result-type) (FunT (parse-types (cast arg-types (Listof Sexp))) (parse-type result-type)))),99.0,2.0,./2234-grading/Assignment8/shuffled-44/text.rkt,0.419048,,False
52.0,RC-and->true,passed,./2234-grading/Assignment5/shuffled-04/text,(and (symbol=? s (quote /)) (= (NumV-n r) 0)),(and #t (= (NumV-n r) 0)),124.0,29.0,./2234-grading/Assignment5/shuffled-04/text.rkt,0.782051,,False
24.0,RC-cond->false,passed,./2234-grading/Assignment3/shuffled-46/text,"(cond ((equal? (interp r fds) 0) (error (quote interp-binop) \""dividing by 0 VVQS\"")) (else (/ (interp l fds) (interp r fds))))","(cond (#f (error (quote interp-binop) \""dividing by 0 VVQS\"")) (else (/ (interp l fds) (interp r fds))))",117.0,19.0,./2234-grading/Assignment3/shuffled-46/text.rkt,0.785714,,False
2.0,RC-cond->true,passed,./2234-grading/Assignment3/shuffled-25/text,"(cond ((equal? op (quote /)) (cond ((zero? right) (error (quote interp) \""VVQS Cannot divide by zero\"")) (else (binop left right)))) (else (binop left right)))","(cond (#t (cond ((zero? right) (error (quote interp) \""VVQS Cannot divide by zero\"")) (else (binop left right)))) (else (binop left right)))",66.0,23.0,./2234-grading/Assignment3/shuffled-25/text.rkt,0.8125,,False
19.0,RC-or->true,passed,./2234-grading/Assignment4/shuffled-03/text,(or (quote +) (quote *) (quote /) (quote -) (quote leq0?) (quote def)),(or (quote +) #t (quote /) (quote -) (quote leq0?) (quote def)),41.0,8.0,./2234-grading/Assignment4/shuffled-03/text.rkt,0.693182,,False
64.0,aod-add,passed,./2234-grading/Assignment4/shuffled-07/text,(+ (w y) 10),(begin w y),263.0,40.0,./2234-grading/Assignment4/shuffled-07/text.rkt,0.757576,,False
88.0,RC-cond->true,passed,./2234-grading/Assignment8/shuffled-39/text,"(cond ((cmp-to-list op (quote (/ + - * <=))) (cond ((and (symbol=? op (quote /)) (= 0 (numV-n (cast (list-ref ops 1) numV)))) (error (quote VVQS) \""Can not divide by zero\"")) (else (compute-prim op ops)))) (else (define lhop (list-ref ops 0)) (define rhop...","(cond (#t (cond ((and (symbol=? op (quote /)) (= 0 (numV-n (cast (list-ref ops 1) numV)))) (error (quote VVQS) \""Can not divide by zero\"")) (else (compute-prim op ops)))) (else (define lhop (list-ref ops 0)) (define rhop (list-ref ops 1)) (match op ((quot...",461.0,2.0,./2234-grading/Assignment8/shuffled-39/text.rkt,0.242647,,False
32.0,RC-match-removal,passed,/Users/charlieray/Desktop/Research/RacketCode/JCCR/./2234-grading/Assignment8/shuffled-39/text.rkt,(match e ((numC n) (quote num)) ((strC str) (quote str)) ((idC name) (type-lookup name env)) ((mutC var newVal) (quote void)) ((seqC statements) (type-check (last-element statements) env)) ((arrC vals) (define tVals (for/list : (Listof Ty) ((val vals)) (type-check val env))) (cond ((arrCheck tVals) (quote num)) (else (error (quote VVQS) value in arrC was not a num)))) ((lamC args body types) (define newBindings (for/list : (Listof TypeBinding) ((param args) (type types)) (TypeBinding param type))) (type-check body (extend-TEnv env newBindings))) ((ifC expr then else) (define thenTy (type-check then env)) (define elseTy (type-check else env)) (cond ((equal? thenTy elseTy) thenTy) (else (error (quote VVQS) else and then statements do not have matching types)))) ((appC name args) (match (type-check name env) ((funcType argsT ret) (if (paramsCheck argsT args env) ret (error (quote type-check) VVQS8 id missing from type-env)))))),(match e ((numC n) (quote num)) ((strC str) (quote str)) ((idC name) (type-lookup name env)) ((mutC var newVal) (quote void)) ((seqC statements) (type-check (last-element statements) env)) ((arrC vals) (define tVals (for/list : (Listof Ty) ((val vals)) (type-check val env))) (cond ((arrCheck tVals) (quote num)) (else (error (quote VVQS) value in arrC was not a num)))) ((ifC expr then else) (define thenTy (type-check then env)) (define elseTy (type-check else env)) (cond ((equal? thenTy elseTy) thenTy) (else (error (quote VVQS) else and then statements do not have matching types)))) ((appC name args) (match (type-check name env) ((funcType argsT ret) (if (paramsCheck argsT args env) ret (error (quote type-check) VVQS8 id missing from type-env)))))),267.0,2.0,./2234-grading/Assignment8/shuffled-39/text.rkt,,,False
72.0,RC-or->false,passed,./2234-grading/Assignment8/shuffled-05/text,(or (quote =>) (quote :=) (quote where) (quote letrec) (quote if) (quote then) (quote :) (quote else) (quote ->) (quote <-) (quote begin) (quote in) (quote makearr)),(or (quote =>) (quote :=) (quote where) (quote letrec) (quote if) (quote then) (quote :) (quote else) (quote ->) (quote <-) (quote begin) (quote in) #f),327.0,5.0,./2234-grading/Assignment8/shuffled-05/text.rkt,0.648649,,False
44.0,RC-cond->true,passed,./2234-grading/Assignment3/shuffled-49/text,"(cond ((equal? name (quote main)) (cond ((equal? arg (quote init)) (FunDefC name arg (parse body))) (else (error (quote parse-fundef) \""VVQS failed to parse function ~e.\\n                                                            Argument must be init.\""...","(cond ((equal? name (quote main)) (cond ((equal? arg (quote init)) (FunDefC name arg (parse body))) (else (error (quote parse-fundef) \""VVQS failed to parse function ~e.\\n                                                            Argument must be init.\""...",184.0,5.0,./2234-grading/Assignment3/shuffled-49/text.rkt,0.868852,,False
